Date,Close,Open,High,Low,pct_change,log_return
2010-01-01,6.827,6.827,6.827,6.827,,
2010-01-04,6.8285,6.8297,6.8297,6.827,0.00021971583418789464,0.0002196917001988652
2010-01-05,6.8268,6.8283,6.8288,6.8257,-0.00024895657904366875,-0.0002489875738771463
2010-01-06,6.8278,6.8277,6.8291,6.8267,0.00014648151403284793,0.00014647078666341073
2010-01-07,6.8281,6.8269,6.8282,6.8258,4.393801810254061e-05,4.3937052855991254e-05
2010-01-08,6.8276,6.8278,6.8285,6.826,-7.322681272969866e-05,-7.322949394361622e-05
2010-01-11,6.8263,6.8269,6.8285,6.8251,-0.00019040365575029305,-0.00019042178482742145
2010-01-12,6.827,6.8236,6.8276,6.8236,0.00010254457026492858,0.0001025393129299168
2010-01-13,6.8298,6.8273,6.8298,6.8254,0.0004101362238171369,0.0004100521409455826
2010-01-14,6.827,6.8273,6.8279,6.8259,-0.00040996808105653315,-0.0004100521409455826
2010-01-15,6.827,6.8274,6.8274,6.8255,0.0,0.0
2010-01-18,6.8268,6.8277,6.8285,6.8261,-2.929544455831934e-05,-2.9295873678281126e-05
2010-01-19,6.8278,6.828,6.8288,6.8265,0.00014648151403284793,0.00014647078666341073
2010-01-20,6.827,6.8274,6.8289,6.8266,-0.00011716804827321958,-0.00011717491298512961
2010-01-21,6.8269,6.8271,6.8274,6.8258,-1.4647722279104158e-05,-1.4647829558178671e-05
2010-01-22,6.827,6.8267,6.827,6.8255,1.4647936838141362e-05,1.4647829558178671e-05
2010-01-25,6.8269,6.827,6.827,6.8258,-1.4647722279104158e-05,-1.4647829558178671e-05
2010-01-26,6.8266,6.8274,6.8275,6.8264,-4.3943810514313064e-05,-4.394477607183589e-05
2010-01-27,6.8278,6.8271,6.828,6.827,0.00017578296663045556,0.00017576751861514417
2010-01-28,6.8269,6.8262,6.827,6.826,-0.00013181405430728876,-0.00013182274254330828
2010-01-29,6.8269,6.827,6.827,6.826,0.0,0.0
2010-02-01,6.827,6.8271,6.8285,6.827,1.4647936838141362e-05,1.4647829558178671e-05
2010-02-02,6.8271,6.8266,6.8276,6.8241,1.4647722279104158e-05,1.4647615002250092e-05
2010-02-03,6.827,6.8275,6.8282,6.8248,-1.4647507726506248e-05,-1.4647615002250092e-05
2010-02-04,6.8285,6.8265,6.8285,6.8245,0.00021971583418789464,0.0002196917001988652
2010-02-05,6.8285,6.8279,6.829,6.826,0.0,0.0
2010-02-08,6.8266,6.8267,6.8274,6.8258,-0.00027824558834299573,-0.00027828430582887975
2010-02-09,6.8268,6.8258,6.827,6.8258,2.9297161105112934e-05,2.9296731951733435e-05
2010-02-10,6.8285,6.8272,6.833,6.8261,0.0002490185738559525,0.0002489875738771463
2010-02-11,6.8338,6.8312,6.8356,6.823,0.0007761587464303332,0.0007758576909984161
2010-02-12,6.8334,6.8354,6.8354,6.8296,-5.853258801835626e-05,-5.853430111724123e-05
2010-02-15,6.8334,6.8334,6.8334,6.8334,0.0,0.0
2010-02-16,6.8334,6.8334,6.8334,6.8334,0.0,0.0
2010-02-17,6.8334,6.8334,6.8334,6.8334,0.0,0.0
2010-02-18,6.8331,6.8331,6.8331,6.8331,-4.390201071213795e-05,-4.3902974433462916e-05
2010-02-19,6.8291,6.83,6.83,6.8291,-0.0005853858424433867,-0.0005855572476309856
2010-02-22,6.8274,6.8305,6.8315,6.8265,-0.00024893470589104627,-0.00024896569527799173
2010-02-23,6.8277,6.8274,6.833,6.8265,4.3940592319158256e-05,4.3939626959588196e-05
2010-02-24,6.827,6.8267,6.8275,6.826,-0.00010252354379958195,-0.00010252879969718798
2010-02-25,6.8268,6.8263,6.8275,6.826,-2.929544455831934e-05,-2.9295873678281126e-05
2010-02-26,6.8261,6.827,6.8275,6.8255,-0.00010253705982310457,-0.00010254231710682404
2010-03-01,6.8264,6.8254,6.8269,6.8254,4.394896060699871e-05,4.3947994879722785e-05
