Date,USD/CNY
2014-01-02,6.099
2014-01-03,6.1039
2014-01-06,6.1059
2014-01-07,6.1042
2014-01-08,6.1079
2014-01-09,6.1109
2014-01-10,6.1008
2014-01-13,6.095
2014-01-14,6.093
2014-01-15,6.1005
2014-01-16,6.1065
2014-01-17,6.1041
2014-01-20,6.1083
2014-01-21,6.1066
2014-01-22,6.1087
2014-01-23,6.1107
2014-01-24,6.1035
2014-01-27,6.1022
2014-01-28,6.1053
2014-01-29,6.1073
2014-01-30,6.105
2014-02-07,6.1089
2014-02-10,6.1083
2014-02-11,6.1069
2014-02-12,6.1078
2014-02-13,6.11
2014-02-14,6.107
2014-02-17,6.1053
2014-02-18,6.1073
2014-02-19,6.1103
2014-02-20,6.1146
2014-02-21,6.1176
2014-02-24,6.1189
2014-02-25,6.1184
2014-02-26,6.1192
2014-02-27,6.1224
2014-02-28,6.1214
2014-03-03,6.119
2014-03-04,6.1236
2014-03-05,6.1257
2014-03-06,6.1249
2014-03-07,6.1201
2014-03-10,6.1312
2014-03-11,6.1327
2014-03-12,6.1343
2014-03-13,6.132
2014-03-14,6.1346
2014-03-17,6.1321
2014-03-18,6.1341
2014-03-19,6.1351
2014-03-20,6.146
2014-03-21,6.1475
2014-03-24,6.1452
2014-03-25,6.1426
2014-03-26,6.144
2014-03-27,6.1465
2014-03-28,6.149
2014-03-31,6.1521
2014-04-01,6.1503
2014-04-02,6.1493
2014-04-03,6.152
2014-04-04,6.1557
2014-04-08,6.1527
2014-04-09,6.149
2014-04-10,6.151
2014-04-11,6.1495
2014-04-14,6.1531
2014-04-15,6.1571
2014-04-16,6.1589
2014-04-17,6.1575
2014-04-18,6.1586
2014-04-21,6.1591
2014-04-22,6.161
2014-04-23,6.1599
2014-04-24,6.1589
2014-04-25,6.1576
2014-04-28,6.1565
2014-04-29,6.1556
2014-04-30,6.158
2014-05-05,6.156
2014-05-06,6.1565
2014-05-07,6.1542
2014-05-08,6.1557
2014-05-09,6.1581
2014-05-12,6.1625
2014-05-13,6.1636
2014-05-14,6.1653
2014-05-15,6.164
2014-05-16,6.1628
2014-05-19,6.1636
2014-05-20,6.1626
2014-05-21,6.1645
2014-05-22,6.1658
2014-05-23,6.1681
2014-05-26,6.1699
2014-05-27,6.1687
2014-05-28,6.1694
2014-05-29,6.1705
2014-05-30,6.1695
2014-06-03,6.171
2014-06-04,6.1693
2014-06-05,6.1708
2014-06-06,6.1623
2014-06-09,6.1485
2014-06-10,6.1451
2014-06-11,6.1506
2014-06-12,6.1516
2014-06-13,6.1503
2014-06-16,6.1537
2014-06-17,6.1529
2014-06-18,6.1559
2014-06-19,6.1531
2014-06-20,6.1524
2014-06-23,6.1557
2014-06-24,6.1545
2014-06-25,6.1555
2014-06-26,6.1538
2014-06-27,6.1543
2014-06-30,6.1528
2014-07-01,6.1523
2014-07-02,6.1549
2014-07-03,6.1581
2014-07-04,6.1642
2014-07-07,6.1658
2014-07-08,6.1626
2014-07-09,6.1565
2014-07-10,6.1443
2014-07-11,6.1469
2014-07-14,6.1485
2014-07-15,6.149
2014-07-16,6.1535
2014-07-17,6.1564
2014-07-18,6.1568
2014-07-21,6.1547
2014-07-22,6.1544
2014-07-23,6.1572
2014-07-24,6.1579
2014-07-25,6.1597
2014-07-28,6.1622
2014-07-29,6.1615
2014-07-30,6.1645
2014-07-31,6.1675
2014-08-01,6.1681
2014-08-04,6.1661
2014-08-05,6.1655
2014-08-06,6.1681
2014-08-07,6.167
2014-08-08,6.1562
2014-08-11,6.1522
2014-08-12,6.1517
2014-08-13,6.1533
2014-08-14,6.1545
2014-08-15,6.1538
2014-08-18,6.1528
2014-08-19,6.1548
2014-08-20,6.158
2014-08-21,6.1632
2014-08-22,6.1617
2014-08-25,6.1653
2014-08-26,6.1663
2014-08-27,6.1658
2014-08-28,6.1638
2014-08-29,6.1647
2014-09-01,6.168
2014-09-02,6.1684
2014-09-03,6.1697
2014-09-04,6.1666
2014-09-05,6.1707
2014-09-09,6.152
2014-09-10,6.1425
2014-09-11,6.1453
2014-09-12,6.1468
2014-09-15,6.1452
2014-09-16,6.1462
2014-09-17,6.145
2014-09-18,6.149
2014-09-19,6.1455
2014-09-22,6.1485
2014-09-23,6.147
2014-09-24,6.1462
2014-09-25,6.1497
2014-09-26,6.1508
2014-09-29,6.1539
2014-09-30,6.1525
2014-10-08,6.1493
2014-10-09,6.1461
2014-10-10,6.147
2014-10-13,6.1446
2014-10-14,6.1408
2014-10-15,6.1455
2014-10-16,6.1395
2014-10-17,6.1407
2014-10-20,6.1435
2014-10-21,6.141
2014-10-22,6.1437
2014-10-23,6.1459
2014-10-24,6.1467
2014-10-27,6.1446
2014-10-28,6.1421
2014-10-29,6.1405
2014-10-30,6.1457
2014-10-31,6.1461
2014-11-03,6.1525
2014-11-04,6.1543
2014-11-05,6.1503
2014-11-06,6.1565
2014-11-07,6.1602
2014-11-10,6.1377
2014-11-11,6.1413
2014-11-12,6.1428
2014-11-13,6.1418
2014-11-14,6.1399
2014-11-17,6.1409
2014-11-18,6.143
2014-11-19,6.1397
2014-11-20,6.1417
2014-11-21,6.1387
2014-11-24,6.142
2014-11-25,6.139
2014-11-26,6.1354
2014-11-27,6.132
2014-11-28,6.1345
2014-12-01,6.1369
2014-12-02,6.1325
2014-12-03,6.1376
2014-12-04,6.1411
2014-12-05,6.1373
2014-12-08,6.1282
2014-12-09,6.1231
2014-12-10,6.1195
2014-12-11,6.1153
2014-12-12,6.1184
2014-12-15,6.1152
2014-12-16,6.1182
2014-12-17,6.1137
2014-12-18,6.1195
2014-12-19,6.1205
2014-12-22,6.122
2014-12-23,6.123
2014-12-24,6.1247
2014-12-25,6.1213
2014-12-26,6.1186
2014-12-29,6.1205
2014-12-30,6.1224
2014-12-31,6.119
2015-01-05,6.1248
2015-01-06,6.1256
2015-01-07,6.1269
2015-01-08,6.1302
2015-01-09,6.1296
2015-01-12,6.1233
2015-01-13,6.1195
2015-01-14,6.1205
2015-01-15,6.1193
2015-01-16,6.1188
2015-01-19,6.123
2015-01-20,6.1226
2015-01-21,6.1268
2015-01-22,6.1247
2015-01-23,6.1342
2015-01-26,6.1384
2015-01-27,6.1364
2015-01-28,6.1282
2015-01-29,6.1335
2015-01-30,6.137
2015-02-02,6.1385
2015-02-03,6.1369
2015-02-04,6.1318
2015-02-05,6.1366
2015-02-06,6.1261
2015-02-09,6.1311
2015-02-10,6.1295
2015-02-11,6.1315
2015-02-12,6.1333
2015-02-13,6.1288
